Cenário de Agência,Opção de Deploy,Custo Total (R$),Custo Total Mínimo (R$),Custo Total Médio (R$),Custo Total Máximo (R$),Custo ASR (R$),Custo Input Tokens (R$),Custo Output Tokens (R$),Tamanho Banco de Dados Relacional (GB)
Brasil (M1: Média Ponderada) (Mensal),SerproLLM: Speech Service e mistral-small-3.2-24b-instruct,315324.68 +/- 37590.13,277734.55,315324.68,352914.81,114240.15,111589.9 +/- 23000.91,89494.63 +/- 29731.74,155.57 +/- 40.34
Brasil (M1: Média Ponderada) (Mensal),SerproLLM: Speech Service e gpt-oss-120b,446433.42 +/- 66179.39,380254.03,446433.42,512612.81,114240.15,159201.59 +/- 32814.63,172991.68 +/- 57470.97,155.57 +/- 40.34
Brasil (M1: Média Ponderada) (Mensal),APIs GCP: Chirp3 e gemini-2.5-flash,664582.96 +/- 124307.44,540275.52,664582.96,788890.4,144303.38,159414.14 +/- 32858.44,360865.45 +/- 119886.04,155.57 +/- 40.34
Brasil (M1: Média Ponderada) (Mensal),APIs GCP: Chirp3 e gemini-3.5-flash-lite,664582.96 +/- 124307.44,540275.52,664582.96,788890.4,144303.38,159414.14 +/- 32858.44,360865.45 +/- 119886.04,155.57 +/- 40.34
Brasil (M1: Média Ponderada) (Mensal),SerproLLM: Speech Service e qwen3.6-35b,801278.65 +/- 151061.18,650217.47,801278.65,952339.83,114240.15,262501.95 +/- 54106.9,424536.55 +/- 141038.73,155.57 +/- 40.34
Brasil (M1: Média Ponderada) (Mensal),APIs GCP: Chirp3 e gemini-3.8-flash,2023970.42 +/- 395405.98,1628564.44,2023970.42,2419376.4,144303.38,797070.7 +/- 164292.2,1082596.34 +/- 359658.11,155.57 +/- 40.34
Brasil (M2: Regressão Linear) (Anual),SerproLLM: Speech Service e gemma-3-12b,2246592.67 +/- 178231.33,2068361.34,2246592.67,2424824.0,1246534.96,637799.07 +/- 131463.13,362258.63 +/- 120348.88,1697.48 +/- 440.22
Brasil (M2: Regressão Linear) (Anual),SerproLLM: Speech Service e gemma-4-31b,3242126.99 +/- 403361.16,2838765.83,3242126.99,3645488.15,1246534.96,925968.29 +/- 190860.57,1069623.74 +/- 355348.38,1697.48 +/- 440.22
Brasil (M2: Regressão Linear) (Anual),SerproLLM: Speech Service e mistral-small-3.2-24b-instruct,3440674.65 +/- 410165.81,3030508.84,3440674.65,3850840.46,1246534.96,1217616.41 +/- 250975.07,976523.27 +/- 324418.72,1697.48 +/- 440.22
Brasil (M2: Regressão Linear) (Anual),SerproLLM: Speech Service e gpt-oss-120b,4871271.44 +/- 722118.38,4149153.06,4871271.44,5593389.82,1246534.96,1737132.75 +/- 358057.77,1887603.73 +/- 627096.15,1697.48 +/- 440.22
Brasil (M2: Regressão Linear) (Anual),APIs GCP: Chirp3 e gemini-2.5-flash,7251616.38 +/- 1356384.23,5895232.15,7251616.38,8608000.61,1574570.53,1739452.02 +/- 358535.82,3937593.83 +/- 1308139.99,1697.48 +/- 440.22
Brasil (M2: Regressão Linear) (Anual),APIs GCP: Chirp3 e gemini-3.5-flash-lite,7251616.38 +/- 1356384.23,5895232.15,7251616.38,8608000.61,1574570.53,1739452.02 +/- 358535.82,3937593.83 +/- 1308139.99,1697.48 +/- 440.22
Brasil (M2: Regressão Linear) (Anual),SerproLLM: Speech Service e qwen3.6-35b,8743175.5 +/- 1648308.45,7094867.05,8743175.5,10391483.95,1246534.96,2864297.66 +/- 590388.98,4632342.88 +/- 1538948.22,1697.48 +/- 440.22
Brasil (M2: Regressão Linear) (Anual),APIs GCP: Chirp3 e gemini-3.8-flash,22084612.12 +/- 4314483.81,17770128.31,22084612.12,26399095.93,1574570.53,8697260.11 +/- 1792679.08,11812781.48 +/- 3924419.98,1697.48 +/- 440.22
Brasil (M2: Regressão Linear) (Mensal),SerproLLM: Speech Service e gemma-3-12b,187216.06 +/- 14852.61,172363.45,187216.06,202068.67,103877.92,53149.92 +/- 10955.26,30188.22 +/- 10029.07,141.46 +/- 36.69
Brasil (M2: Regressão Linear) (Mensal),SerproLLM: Speech Service e gemma-4-31b,270177.26 +/- 33613.43,236563.83,270177.26,303790.69,103877.92,77164.02 +/- 15905.05,89135.31 +/- 29612.37,141.46 +/- 36.69
Brasil (M2: Regressão Linear) (Mensal),SerproLLM: Speech Service e mistral-small-3.2-24b-instruct,286722.9 +/- 34180.48,252542.42,286722.9,320903.38,103877.92,101468.03 +/- 20914.59,81376.94 +/- 27034.89,141.46 +/- 36.69
Brasil (M2: Regressão Linear) (Mensal),SerproLLM: Speech Service e gpt-oss-120b,405939.3 +/- 60176.53,345762.77,405939.3,466115.83,103877.92,144761.06 +/- 29838.15,157300.31 +/- 52258.01,141.46 +/- 36.69
Brasil (M2: Regressão Linear) (Mensal),APIs GCP: Chirp3 e gemini-2.5-flash,604301.38 +/- 113032.02,491269.36,604301.38,717333.4,131214.23,144954.34 +/- 29877.98,328132.82 +/- 109011.67,141.46 +/- 36.69
Brasil (M2: Regressão Linear) (Mensal),APIs GCP: Chirp3 e gemini-3.5-flash-lite,604301.38 +/- 113032.02,491269.36,604301.38,717333.4,131214.23,144954.34 +/- 29877.98,328132.82 +/- 109011.67,141.46 +/- 36.69
Brasil (M2: Regressão Linear) (Mensal),SerproLLM: Speech Service e qwen3.6-35b,728597.97 +/- 137359.04,591238.93,728597.97,865957.01,103877.92,238691.47 +/- 49199.08,386028.57 +/- 128245.68,141.46 +/- 36.69
Brasil (M2: Regressão Linear) (Mensal),APIs GCP: Chirp3 e gemini-3.8-flash,1840384.36 +/- 359540.32,1480844.04,1840384.36,2199924.68,131214.23,724771.68 +/- 149389.92,984398.46 +/- 327035.0,141.46 +/- 36.69
Distrito Federal (mensal),SerproLLM: Speech Service e gemma-3-12b,2419.96 +/- 191.99,2227.97,2419.96,2611.95,1342.73,687.02 +/- 141.61,390.21 +/- 129.64,1.83 +/- 0.47
Distrito Federal (mensal),SerproLLM: Speech Service e gemma-4-31b,3492.32 +/- 434.49,3057.83,3492.32,3926.81,1342.73,997.42 +/- 205.59,1152.17 +/- 382.77,1.83 +/- 0.47
Distrito Federal (mensal),SerproLLM: Speech Service e mistral-small-3.2-24b-instruct,3706.19 +/- 441.82,3264.37,3706.19,4148.01,1342.73,1311.58 +/- 270.34,1051.88 +/- 349.45,1.83 +/- 0.47
Distrito Federal (mensal),SerproLLM: Speech Service e gpt-oss-120b,5247.18 +/- 777.84,4469.34,5247.18,6025.02,1342.73,1871.19 +/- 385.69,2033.27 +/- 675.49,1.83 +/- 0.47
Distrito Federal (mensal),APIs GCP: Chirp3 e gemini-2.5-flash,7811.19 +/- 1461.05,6350.14,7811.19,9272.24,1696.06,1873.68 +/- 386.2,4241.45 +/- 1409.09,1.83 +/- 0.47
Distrito Federal (mensal),APIs GCP: Chirp3 e gemini-3.5-flash-lite,7811.19 +/- 1461.05,6350.14,7811.19,9272.24,1696.06,1873.68 +/- 386.2,4241.45 +/- 1409.09,1.83 +/- 0.47
Distrito Federal (mensal),SerproLLM: Speech Service e qwen3.6-35b,9417.88 +/- 1775.51,7642.37,9417.88,11193.39,1342.73,3085.33 +/- 635.95,4989.82 +/- 1657.71,1.83 +/- 0.47
Distrito Federal (mensal),APIs GCP: Chirp3 e gemini-3.8-flash,23788.84 +/- 4647.43,19141.41,23788.84,28436.27,1696.06,9368.42 +/- 1931.02,12724.36 +/- 4227.26,1.83 +/- 0.47
Pará (mensal (março)),SerproLLM: Speech Service e gemma-3-12b,4626.21 +/- 367.02,4259.19,4626.21,4993.23,2566.88,1313.36 +/- 270.71,745.97 +/- 247.82,3.5 +/- 0.91
Pará (mensal (março)),SerproLLM: Speech Service e gemma-4-31b,6676.23 +/- 830.61,5845.62,6676.23,7506.84,2566.88,1906.77 +/- 393.02,2202.58 +/- 731.74,3.5 +/- 0.91
Pará (mensal (março)),SerproLLM: Speech Service e mistral-small-3.2-24b-instruct,7085.08 +/- 844.62,6240.46,7085.08,7929.7,2566.88,2507.33 +/- 516.81,2010.87 +/- 668.05,3.5 +/- 0.91
Pará (mensal (março)),SerproLLM: Speech Service e gpt-oss-120b,10030.99 +/- 1487.0,8543.99,10030.99,11517.99,2566.88,3577.13 +/- 737.32,3886.98 +/- 1291.32,3.5 +/- 0.91
Pará (mensal (março)),APIs GCP: Chirp3 e gemini-2.5-flash,14932.62 +/- 2793.08,12139.54,14932.62,17725.7,3242.38,3581.9 +/- 738.3,8108.34 +/- 2693.74,3.5 +/- 0.91
Pará (mensal (março)),APIs GCP: Chirp3 e gemini-3.5-flash-lite,14932.62 +/- 2793.08,12139.54,14932.62,17725.7,3242.38,3581.9 +/- 738.3,8108.34 +/- 2693.74,3.5 +/- 0.91
Pará (mensal (março)),SerproLLM: Speech Service e qwen3.6-35b,18004.06 +/- 3394.22,14609.84,18004.06,21398.28,2566.88,5898.2 +/- 1215.74,9538.98 +/- 3169.02,3.5 +/- 0.91
Pará (mensal (março)),APIs GCP: Chirp3 e gemini-3.8-flash,45476.92 +/- 8884.44,36592.48,45476.92,54361.36,3242.38,17909.51 +/- 3691.51,24325.03 +/- 8081.22,3.5 +/- 0.91
"Recife, Araçoiaba, Ilha de Itamaracá, Itapissuma, Moreno, Abreu e Lima, Ipojuca, São Lourenço da Mata, Igarassu, Camaragibe, Cabo de Santo Agostinho, Paulista, Olinda, Jaboatão dos Guararapes, Petrolina, Caruaru (mensal)",SerproLLM: Speech Service e gemma-3-12b,6220.68 +/- 493.51,5727.17,6220.68,6714.19,3451.58,1766.03 +/- 364.01,1003.07 +/- 333.24,4.7 +/- 1.22
"Recife, Araçoiaba, Ilha de Itamaracá, Itapissuma, Moreno, Abreu e Lima, Ipojuca, São Lourenço da Mata, Igarassu, Camaragibe, Cabo de Santo Agostinho, Paulista, Olinda, Jaboatão dos Guararapes, Petrolina, Caruaru (mensal)",SerproLLM: Speech Service e gemma-4-31b,8977.25 +/- 1116.88,7860.37,8977.25,10094.13,3451.58,2563.95 +/- 528.48,2961.72 +/- 983.94,4.7 +/- 1.22
"Recife, Araçoiaba, Ilha de Itamaracá, Itapissuma, Moreno, Abreu e Lima, Ipojuca, São Lourenço da Mata, Igarassu, Camaragibe, Cabo de Santo Agostinho, Paulista, Olinda, Jaboatão dos Guararapes, Petrolina, Caruaru (mensal)",SerproLLM: Speech Service e mistral-small-3.2-24b-instruct,9527.01 +/- 1135.72,8391.29,9527.01,10662.73,3451.58,3371.5 +/- 694.93,2703.93 +/- 898.3,4.7 +/- 1.22
"Recife, Araçoiaba, Ilha de Itamaracá, Itapissuma, Moreno, Abreu e Lima, Ipojuca, São Lourenço da Mata, Igarassu, Camaragibe, Cabo de Santo Agostinho, Paulista, Olinda, Jaboatão dos Guararapes, Petrolina, Caruaru (mensal)",SerproLLM: Speech Service e gpt-oss-120b,13488.25 +/- 1999.5,11488.75,13488.25,15487.75,3451.58,4810.01 +/- 991.44,5226.66 +/- 1736.39,4.7 +/- 1.22
"Recife, Araçoiaba, Ilha de Itamaracá, Itapissuma, Moreno, Abreu e Lima, Ipojuca, São Lourenço da Mata, Igarassu, Camaragibe, Cabo de Santo Agostinho, Paulista, Olinda, Jaboatão dos Guararapes, Petrolina, Caruaru (mensal)",APIs GCP: Chirp3 e gemini-2.5-flash,20079.28 +/- 3755.74,16323.54,20079.28,23835.02,4359.89,4816.43 +/- 992.76,10902.95 +/- 3622.16,4.7 +/- 1.22
"Recife, Araçoiaba, Ilha de Itamaracá, Itapissuma, Moreno, Abreu e Lima, Ipojuca, São Lourenço da Mata, Igarassu, Camaragibe, Cabo de Santo Agostinho, Paulista, Olinda, Jaboatão dos Guararapes, Petrolina, Caruaru (mensal)",APIs GCP: Chirp3 e gemini-3.5-flash-lite,20079.28 +/- 3755.74,16323.54,20079.28,23835.02,4359.89,4816.43 +/- 992.76,10902.95 +/- 3622.16,4.7 +/- 1.22
"Recife, Araçoiaba, Ilha de Itamaracá, Itapissuma, Moreno, Abreu e Lima, Ipojuca, São Lourenço da Mata, Igarassu, Camaragibe, Cabo de Santo Agostinho, Paulista, Olinda, Jaboatão dos Guararapes, Petrolina, Caruaru (mensal)",SerproLLM: Speech Service e qwen3.6-35b,24209.31 +/- 4564.06,19645.25,24209.31,28773.37,3451.58,7931.06 +/- 1634.75,12826.67 +/- 4261.25,4.7 +/- 1.22
"Recife, Araçoiaba, Ilha de Itamaracá, Itapissuma, Moreno, Abreu e Lima, Ipojuca, São Lourenço da Mata, Igarassu, Camaragibe, Cabo de Santo Agostinho, Paulista, Olinda, Jaboatão dos Guararapes, Petrolina, Caruaru (mensal)",APIs GCP: Chirp3 e gemini-3.8-flash,61150.92 +/- 11946.54,49204.38,61150.92,73097.46,4359.89,24082.17 +/- 4963.82,32708.86 +/- 10866.48,4.7 +/- 1.22
